position,salary,hours,years,type_job,salary_millions,Salary_per_hour,year_cut_in_10
PROFESOR CATEDRATICO,3756701.0,Full time,24,PUESTO NO ADMINISTRATIVO ,3.756701,21613.88668980309,30 años
PROFESOR INSTRUCTOR                    ,568325.75,1/4 of  time,19,PUESTO NO ADMINISTRATIVO ,0.56832575,13079.271800867155,20 años
PROFESOR INSTRUCTOR                    ,2504353.5,Full time,26,PUESTO NO ADMINISTRATIVO ,2.5043535,14408.602861982305,30 años
PROFESOR CATEDRATICO,3443560.0,Full time,27,PUESTO NO ADMINISTRATIVO ,3.44356,19812.254328874813,30 años
PROFESOR CATEDRATICO,4842369.0,Full time,24,PUESTO NO ADMINISTRATIVO ,4.842369,27860.19299279211,30 años
PROFESOR INTERINO LICENCIADO           ,1849408.0,Full time,14,PUESTO NO ADMINISTRATIVO ,1.849408,10640.424924745237,20 años
PROFESOR INTERINO LICENCIADO           ,973770.0,3/4 of time,11,PUESTO NO ADMINISTRATIVO ,0.97377,7470.013163829845,20 años
PROFESOR CATEDRATICO,8573812.0,Full time,49,PUESTO NO ADMINISTRATIVO ,8.573812,49328.759746297095,50 años
PROFESOR INSTRUCTOR                    ,1742921.9,Full time,19,ADMINISTRATIVO,1.7429218999999998,10027.765439883642,20 años
PROFESOR INSTRUCTOR                    ,1983473.0,Full time,13,PUESTO NO ADMINISTRATIVO ,1.983473,11411.757463339192,20 años
PROFESOR ADJUNTO                       ,1847323.55,7/8 of time,21,PUESTO NO ADMINISTRATIVO ,1.84732355,12146.779661685627,30 años
PROFESOR INSTRUCTOR                    ,2759944.5,Full time,15,PUESTO NO ADMINISTRATIVO ,2.7599445,15879.125779013357,20 años
PROFESOR INTERINO LICENCIADO           ,646085.75,Part Time,9,PUESTO NO ADMINISTRATIVO ,0.64608575,7434.408110944389,10 años
PROFESOR INSTRUCTOR                    ,1823015.0,Full time,21,PUESTO NO ADMINISTRATIVO ,1.823015,10488.574854323351,30 años
PROFESOR CATEDRATICO,5990613.0,Full time,33,PUESTO NO ADMINISTRATIVO ,5.990613,34466.52543933131,40 años
PROFESOR CATEDRATICO,7207706.0,Full time,34,PUESTO NO ADMINISTRATIVO ,7.207706,41468.9752464766,40 años
PROFESOR CATEDRATICO,4069194.0,Full time,31,PUESTO NO ADMINISTRATIVO ,4.069194,23411.790833187577,40 años
PROFESOR CATEDRATICO,5044512.5,Full time,36,PUESTO NO ADMINISTRATIVO ,5.0445125,29023.209880236762,40 años
PROFESOR INTERINO LICENCIADO           ,114003.6,1/8  of time,23,PUESTO NO ADMINISTRATIVO ,0.11400360000000001,5247.286686120905,30 años
PROFESOR INSTRUCTOR                    ,583312.0,Part Time,9,PUESTO NO ADMINISTRATIVO ,0.583312,6712.080345389438,10 años
PROFESOR CATEDRATICO,4445971.0,Full time,27,PUESTO NO ADMINISTRATIVO ,4.445971,25579.547965129655,30 años
PROFESOR CATEDRATICO,4150927.0,Full time,27,PUESTO NO ADMINISTRATIVO ,4.150927,23882.03528458727,30 años
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8  of time,0,PUESTO NO ADMINISTRATIVO ,0.0738303,3398.2150583166867,10 años
PROFESOR INSTRUCTOR                    ,305444.5,1/4 of  time,15,PUESTO NO ADMINISTRATIVO ,0.3054445,7029.404589850043,20 años
PROFESOR ASOCIADO                      ,4596569.0,Full time,32,PUESTO NO ADMINISTRATIVO ,4.596569,26446.001831889607,40 años
PROFESOR INSTRUCTOR                    ,1299790.0,5/8 of time,25,PUESTO NO ADMINISTRATIVO ,1.29979,11965.184891973746,30 años
PROFESOR CATEDRATICO,4275415.0,Full time,15,PUESTO NO ADMINISTRATIVO ,4.275415,24598.267299389674,20 años
PROFESOR ADJUNTO                       ,2652670.0,Full time,32,PUESTO NO ADMINISTRATIVO ,2.65267,15261.930296140144,40 años
PROFESOR ASOCIADO                      ,2947210.0,Full time,31,PUESTO NO ADMINISTRATIVO ,2.94721,16956.543251926247,40 años
PROFESOR CATEDRATICO,3372821.0,Full time,27,PUESTO NO ADMINISTRATIVO ,3.372821,19405.263000432657,30 años
PROFESOR INSTRUCTOR                    ,399944.75,1/4 of  time,17,PUESTO NO ADMINISTRATIVO ,0.39994475,9204.203910485956,20 años
PROFESOR CATEDRATICO,2133989.0,Part Time,31,PUESTO NO ADMINISTRATIVO ,2.133989,24555.479098968062,40 años
PROFESOR ASOCIADO                      ,3479650.0,Full time,30,PUESTO NO ADMINISTRATIVO ,3.47965,20019.89533374451,30 años
PROFESOR ADJUNTO                       ,2535431.0,Full time,26,PUESTO NO ADMINISTRATIVO ,2.535431,14587.404838397877,30 años
PROFESOR INSTRUCTOR                    ,1138783.5,Part Time,38,PUESTO NO ADMINISTRATIVO ,1.1387835,13103.804392852868,40 años
PROFESOR INSTRUCTOR                    ,2435731.0,Full time,30,PUESTO NO ADMINISTRATIVO ,2.435731,14013.788651489906,30 años
PROFESOR CATEDRATICO,5935085.0,Full time,32,PUESTO NO ADMINISTRATIVO ,5.935085,34147.049414992034,40 años
PROFESOR INTERINO LICENCIADO           ,96077.85,1/4 of  time,9,PUESTO NO ADMINISTRATIVO ,0.09607785,2211.105715679686,10 años
PROFESOR PROFESOR SEP CONTRACTUAL      ,176785.8,1/4 of  time,0,PUESTO NO ADMINISTRATIVO ,0.1767858,4068.493339838535,10 años
PROFESOR INSTRUCTOR                    ,1819579.7,3/4 of time,30,PUESTO NO ADMINISTRATIVO ,1.8195797,13958.413497681753,30 años
PROFESOR ASOCIADO                      ,3179420.0,Full time,23,PUESTO NO ADMINISTRATIVO ,3.17942,18292.54540600749,30 años
PROFESOR ASOCIADO                      ,3749044.0,Full time,30,PUESTO NO ADMINISTRATIVO ,3.749044,21569.832736511675,30 años
PROFESOR INTERINO LICENCIADO           ,185683.15,1/4 of  time,9,PUESTO NO ADMINISTRATIVO ,0.18568315,4273.254181587208,10 años
PROFESOR INTERINO LICENCIADO           ,1772743.0,Full time,25,PUESTO NO ADMINISTRATIVO ,1.772743,10199.338816728188,30 años
PROFESOR ASOCIADO                      ,2882476.0,Full time,15,PUESTO NO ADMINISTRATIVO ,2.882476,16584.10122340768,20 años
PROFESOR CATEDRATICO,3921547.0,Full time,24,PUESTO NO ADMINISTRATIVO ,3.921547,22562.315315149448,30 años
PROFESOR INSTRUCTOR                    ,2852491.0,Full time,27,PUESTO NO ADMINISTRATIVO ,2.852491,16411.584860675128,30 años
PROFESOR INTERINO LICENCIADO           ,925126.65,3/4 of time,7,PUESTO NO ADMINISTRATIVO ,0.92512665,7096.85886165091,10 años
PROFESOR INSTRUCTOR                    ,1144290.0,Part Time,13,PUESTO NO ADMINISTRATIVO ,1.14429,13167.166830830978,20 años
PROFESOR INSTRUCTOR                    ,1580728.0,Full time,20,PUESTO NO ADMINISTRATIVO ,1.580728,9094.595465382808,20 años
PROFESOR INTERINO LICENCIADO           ,1916326.0,Full time,32,PUESTO NO ADMINISTRATIVO ,1.916326,11025.432427207703,40 años
PROFESOR CATEDRATICO,5122429.0,Full time,36,PUESTO NO ADMINISTRATIVO ,5.122429,29471.49639605637,40 años
PROFESOR INSTRUCTOR                    ,2133460.0,Full time,20,PUESTO NO ADMINISTRATIVO ,2.13346,12274.695989174359,20 años
PROFESOR ASOCIADO                      ,1449500.0,Part Time,29,PUESTO NO ADMINISTRATIVO ,1.4495,16679.170770774457,30 años
PROFESOR INTERINO LICENCIADO           ,280493.8,1/4 of  time,18,PUESTO NO ADMINISTRATIVO ,0.2804938,6455.196951146541,20 años
PROFESOR INTERINO LICENCIADO           ,256165.85,1/4 of  time,10,PUESTO NO ADMINISTRATIVO ,0.25616585000000003,5895.321086982536,10 años
PROFESOR ADJUNTO                       ,2930238.0,Full time,29,PUESTO NO ADMINISTRATIVO ,2.930238,16858.89617144277,30 años
PROFESOR INTERINO LICENCIADO           ,749298.4,5/8 of time,10,PUESTO NO ADMINISTRATIVO ,0.7492984,6897.648001031013,10 años
PROFESOR INTERINO LICENCIADO           ,413314.25,1/4 of  time,13,PUESTO NO ADMINISTRATIVO ,0.41331425,9511.885419447486,20 años
PROFESOR INSTRUCTOR                    ,2019815.0,Full time,15,PUESTO NO ADMINISTRATIVO ,2.019815,11620.848330587032,20 años
PROFESOR INTERINO LICENCIADO           ,111142.6,1/8  of time,2,PUESTO NO ADMINISTRATIVO ,0.11114260000000001,5115.602360283896,10 años
PROFESOR ASOCIADO                      ,281754.6,1/8  of time,17,PUESTO NO ADMINISTRATIVO ,0.28175459999999997,12968.425219320448,20 años
PROFESOR CATEDRATICO,2638527.75,3/4 of time,28,PUESTO NO ADMINISTRATIVO ,2.63852775,20240.75194925942,30 años
PROFESOR INTERINO LICENCIADO           ,1678547.0,Full time,19,PUESTO NO ADMINISTRATIVO ,1.678547,9657.389465253933,20 años
PROFESOR CATEDRATICO,5410393.0,Full time,30,PUESTO NO ADMINISTRATIVO ,5.410393,31128.27484787952,30 años
PROFESOR EDUCACION SUPERIOR,1305938.5,Part Time,31,PUESTO NO ADMINISTRATIVO ,1.3059385,15027.230946967256,40 años
PROFESOR INTERINO LICENCIADO           ,167529.95,1/8  of time,13,PUESTO NO ADMINISTRATIVO ,0.16752995,7710.964181495154,20 años
PROFESOR INSTRUCTOR                    ,212985.45,1/8  of time,19,PUESTO NO ADMINISTRATIVO ,0.21298545000000002,9803.161620531891,20 años
PROFESOR INSTRUCTOR                    ,242416.1,1/8  of time,23,PUESTO NO ADMINISTRATIVO ,0.2424161,11157.777245905865,30 años
PROFESOR CATEDRATICO,3484439.0,Full time,23,PUESTO NO ADMINISTRATIVO ,3.484439,20047.448472351352,30 años
PROFESOR INTERINO LICENCIADO           ,1855101.0,Full time,18,PUESTO NO ADMINISTRATIVO ,1.855101,10673.17915696256,20 años
PROFESOR EDUCACION SUPERIOR,473928.25,1/4 of  time,20,PUESTO NO ADMINISTRATIVO ,0.47392825,10906.837136728926,20 años
PROFESOR INSTRUCTOR                    ,1924323.0,Full time,21,PUESTO NO ADMINISTRATIVO ,1.924323,11071.442544025185,30 años
PROFESOR INTERINO SIN TITULO           ,112093.6,1/4 of  time,18,PUESTO NO ADMINISTRATIVO ,0.1120936,2579.687197945338,20 años
PROFESOR CATEDRATICO,5339210.0,Full time,45,PUESTO NO ADMINISTRATIVO ,5.33921,30718.7290000092,50 años
PROFESOR CATEDRATICO,3952985.0,Full time,26,PUESTO NO ADMINISTRATIVO ,3.952985,22743.191400244865,30 años
PROFESOR ASOCIADO                      ,2906969.0,Full time,18,PUESTO NO ADMINISTRATIVO ,2.906969,16725.019791772145,20 años
PROFESOR ASOCIADO                      ,3637250.0,Full time,32,PUESTO NO ADMINISTRATIVO ,3.63725,20926.634662297132,40 años
PROFESOR INSTRUCTOR                    ,504603.25,1/4 of  time,28,PUESTO NO ADMINISTRATIVO ,0.50460325,11612.78203275308,30 años
PROFESOR CATEDRATICO,4519726.0,Full time,29,PUESTO NO ADMINISTRATIVO ,4.519726,26003.89161473244,30 años
PROFESOR INSTRUCTOR                    ,1256283.75,3/4 of time,22,PUESTO NO ADMINISTRATIVO ,1.25628375,9637.24098093546,30 años
PROFESOR CATEDRATICO,4482651.0,Full time,25,PUESTO NO ADMINISTRATIVO ,4.482651,25790.58348905929,30 años
PROFESOR ASOCIADO                      ,3557477.0,Full time,31,PUESTO NO ADMINISTRATIVO ,3.557477,20467.666918282994,40 años
PROFESOR INSTRUCTOR                    ,1614646.75,7/8 of time,16,PUESTO NO ADMINISTRATIVO ,1.61464675,10616.850688503808,20 años
PROFESOR ASOCIADO                      ,3113644.0,Full time,23,PUESTO NO ADMINISTRATIVO ,3.113644,17914.10831162375,30 años
PROFESOR ADJUNTO                       ,3013461.0,Full time,33,PUESTO NO ADMINISTRATIVO ,3.013461,17337.71322182434,40 años
PROFESOR CATEDRATICO,5145313.0,Full time,30,PUESTO NO ADMINISTRATIVO ,5.145313,29603.157708204835,30 años
PROFESOR INTERINO LICENCIADO           ,1795377.0,Full time,20,PUESTO NO ADMINISTRATIVO ,1.795377,10329.561773342783,20 años
PROFESOR CATEDRATICO,3856885.0,Full time,27,PUESTO NO ADMINISTRATIVO ,3.856885,22190.28753302464,30 años
PROFESOR INSTRUCTOR                    ,1459752.45,7/8 of time,15,PUESTO NO ADMINISTRATIVO ,1.4597524499999999,9598.36806646879,20 años
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 of  time,11,PUESTO NO ADMINISTRATIVO ,0.1476606,3398.2150583166867,20 años
PROFESOR CATEDRATICO,3952314.0,Full time,28,PUESTO NO ADMINISTRATIVO ,3.952314,22739.330853991953,30 años
PROFESOR INTERINO LICENCIADO           ,166610.4,1/4 of  time,5,PUESTO NO ADMINISTRATIVO ,0.1666104,3834.3198534488306,10 años
PROFESOR INTERINO LICENCIADO           ,905786.0,Full time,3,PUESTO NO ADMINISTRATIVO ,0.905786,5211.369222413491,10 años
PROFESOR INSTRUCTOR                    ,565810.75,1/4 of  time,24,ADMINISTRATIVO,0.56581075,13021.392374184163,30 años
PROFESOR INSTRUCTOR                    ,1633098.0,3/4 of time,30,PUESTO NO ADMINISTRATIVO ,1.633098,12527.869576824294,30 años
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 of  time,15,PUESTO NO ADMINISTRATIVO ,0.1476606,3398.2150583166867,20 años
PROFESOR INSTRUCTOR                    ,1927391.0,Full time,13,PUESTO NO ADMINISTRATIVO ,1.927391,11089.094043136856,20 años
PROFESOR INTERINO LICENCIADO           ,456825.05,5/8 of time,2,PUESTO NO ADMINISTRATIVO ,0.45682505,4205.291767543335,10 años
PROFESOR ASOCIADO                      ,2216641.0,Full time,8,PUESTO NO ADMINISTRATIVO ,2.216641,12753.271395826236,10 años
PROFESOR CATEDRATICO,3881992.0,Full time,24,PUESTO NO ADMINISTRATIVO ,3.881992,22334.738702580293,30 años
PROFESOR INTERINO LICENCIADO           ,119674.5,1/8  of time,9,PUESTO NO ADMINISTRATIVO ,0.1196745,5508.303338825934,10 años
