position,salary,hours,years,type_job,salary_millions,Salary_per_hour,year_cut_in_10
PROFESOR CATEDRATICO,3447927.0,Full time,23,PUESTO NO ADMINISTRATIVO ,3.447927,19837.37952334048,30 años
DIRECTOR,4898008.0,Full time,24,PUESTO NO ADMINISTRATIVO ,4.898008,28180.307646988425,30 años
TRABAJADOR OPERATIVO C,1691698.0,Full time,25,ADMINISTRATIVO,1.691698,9733.05271975771,30 años
TECNICO ESPECIALIZADO B,841884.0,Part Time,31,ADMINISTRATIVO,0.841884,9687.428082223305,40 años
PROFESOR INTERINO LICENCIADO           ,1214762.65,Full time,10,PUESTO NO ADMINISTRATIVO ,1.21476265,6989.042319871859,10 años
TECNICO ASISTENCIAL B,1690078.0,Full time,32,ADMINISTRATIVO,1.690078,9723.732175898223,40 años
PROFESIONAL C,3037562.0,Full time,26,ADMINISTRATIVO,3.037562,17476.376448711693,30 años
PROFESIONAL C,3302763.0,Full time,27,ADMINISTRATIVO,3.302763,19002.189752464765,30 años
PROFESOR CATEDRATICO,2050146.0,Part Time,25,PUESTO NO ADMINISTRATIVO ,2.050146,23590.710754756925,30 años
TECNICO ESPECIALIZADO D,1994342.0,Full time,33,ADMINISTRATIVO,1.994342,11474.291408529793,40 años
PROFESIONAL A,2607379.0,Full time,31,ADMINISTRATIVO,2.607379,15001.352054201838,40 años
TECNICO ASISTENCIAL B,1680240.0,Full time,31,ADMINISTRATIVO,1.68024,9667.13000892931,40 años
PROFESOR INTERINO,1243060.25,7/8 of time,28,ADMINISTRATIVO,1.24306025,8173.543266391992,30 años
TECNICO ESPECIALIZADO B,1731535.0,Full time,32,ADMINISTRATIVO,1.731535,9962.251797369074,40 años
TECNICO ESPECIALIZADO B,1612119.0,Full time,28,ADMINISTRATIVO,1.612119,9275.201139637855,30 años
TRABAJADOR OPERATIVO B,1274990.0,Full time,28,ADMINISTRATIVO,1.27499,7335.555688523533,30 años
PROFESIONAL B,2488859.0,Full time,25,ADMINISTRATIVO,2.488859,14319.456462704014,30 años
TECNICO ESPECIALIZADO D,1807518.0,Full time,25,ADMINISTRATIVO,1.807518,10399.41407148972,30 años
PROFESOR INSTRUCTOR                    ,2220997.0,Full time,21,PUESTO NO ADMINISTRATIVO ,2.220997,12778.333302648414,30 años
PROFESOR INTERINO SIN TITULO           ,674616.5,Full time,1,PUESTO NO ADMINISTRATIVO ,0.6746165,3881.3535040642173,10 años
TECNICO ASISTENCIAL B,1521277.0,Full time,32,ADMINISTRATIVO,1.521277,8752.54876600602,40 años
PROFESOR ASOCIADO                      ,3635997.25,Full time,30,PUESTO NO ADMINISTRATIVO ,3.63599725,20919.427062716903,30 años
PROFESOR CATEDRATICO,5015388.0,Full time,34,PUESTO NO ADMINISTRATIVO ,5.015388,28855.644337251793,40 años
PROFESOR CATEDRATICO,5022277.5,Full time,36,PUESTO NO ADMINISTRATIVO ,5.0222775,28895.282539054228,40 años
PROFESOR ADJUNTO                       ,730469.5,1/4 of  time,49,PUESTO NO ADMINISTRATIVO ,0.7304695,16810.797562390107,50 años
PROFESOR INSTRUCTOR                    ,527029.5,1/4 of  time,32,PUESTO NO ADMINISTRATIVO ,0.5270295,12128.89276541687,40 años
PROFESOR CATEDRATICO,3476033.0,Full time,22,PUESTO NO ADMINISTRATIVO ,3.476033,19999.085205880456,30 años
TRABAJADOR OPERATIVO B,1349442.0,Full time,33,ADMINISTRATIVO,1.349442,7763.909473354751,40 años
PROFESOR CATEDRATICO,1132116.0,1/4 of  time,32,PUESTO NO ADMINISTRATIVO ,1.132116,26054.165017352316,40 años
DIRECTOR ESCUELA,4478663.0,Full time,25,PUESTO NO ADMINISTRATIVO ,4.478663,25767.63884158297,30 años
TECNICO ESPECIALIZADO C,118605.35,1/8  of time,11,ADMINISTRATIVO,0.11860535000000001,5459.093168616693,20 años
TRABAJADOR OPERATIVO B,1256377.0,Full time,28,ADMINISTRATIVO,1.256377,7228.467242315729,30 años
TRABAJADOR OPERATIVO B,1256377.0,Full time,27,ADMINISTRATIVO,1.256377,7228.467242315729,30 años
TECNICO ESPECIALIZADO D,2134460.0,Full time,38,ADMINISTRATIVO,2.13446,12280.449411309844,40 años
PROFESOR CATEDRATICO,2088316.0,Part Time,20,PUESTO NO ADMINISTRATIVO ,2.088316,24029.92700057994,20 años
PROFESOR CATEDRATICO,5888127.0,Full time,33,PUESTO NO ADMINISTRATIVO ,5.888127,33876.88021835387,40 años
PROFESOR CATEDRATICO,5114424.0,Full time,40,PUESTO NO ADMINISTRATIVO ,5.114424,29425.440251861804,40 años
TRABAJADOR OPERATIVO B,1377902.0,Full time,36,ADMINISTRATIVO,1.377902,7927.651867330687,40 años
PROFESOR INSTRUCTOR                    ,1708962.0,Full time,7,PUESTO NO ADMINISTRATIVO ,1.708962,9832.379799504744,10 años
TRABAJADOR OPERATIVO C,1906315.0,Full time,34,ADMINISTRATIVO,1.906315,10967.83491820935,40 años
PROFESOR INSTRUCTOR                    ,2308445.0,Full time,18,PUESTO NO ADMINISTRATIVO ,2.308445,13281.458561552408,20 años
TECNICO ESPECIALIZADO D,2097095.0,Full time,36,ADMINISTRATIVO,2.097095,12065.472793217405,40 años
PROFESOR CATEDRATICO,3937310.0,Full time,34,PUESTO NO ADMINISTRATIVO ,3.93731,22653.006508271115,40 años
PROFESOR INTERINO BACHILLER            ,194205.7,1/4 of  time,12,PUESTO NO ADMINISTRATIVO ,0.1942057,4469.389492870359,20 años
TECNICO ASISTENCIAL B,1436170.0,Full time,27,ADMINISTRATIVO,1.43617,8262.892268321197,30 años
TECNICO ESPECIALIZADO B,1588235.0,Full time,27,ADMINISTRATIVO,1.588235,9137.786405353903,30 años
PROFESOR CATEDRATICO,4330002.0,Full time,34,PUESTO NO ADMINISTRATIVO ,4.330002,24912.32935349946,40 años
PROFESOR CATEDRATICO,2779084.0,Part Time,37,PUESTO NO ADMINISTRATIVO ,2.779084,31978.486803950986,40 años
PROFESOR INTERINO LICENCIADO           ,405252.45,Part Time,6,PUESTO NO ADMINISTRATIVO ,0.40525245,4663.1768325800185,10 años
PROFESOR INTERINO LICENCIADO           ,254345.6,3/8 of time,3,PUESTO NO ADMINISTRATIVO ,0.2543456,3902.286946942708,10 años
PROFESOR INSTRUCTOR                    ,2887554.0,Full time,14,PUESTO NO ADMINISTRATIVO ,2.887554,16613.317101011682,20 años
PROFESOR EDUCACION SUPERIOR,1102123.5,Part Time,26,PUESTO NO ADMINISTRATIVO ,1.1021235,12681.96348187902,30 años
TECNICO ASISTENCIAL B,1824225.0,Full time,24,ADMINISTRATIVO,1.824225,10495.536495107288,30 años
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 of  time,0,PUESTO NO ADMINISTRATIVO ,0.1476606,3398.2150583166867,10 años
PROFESOR CATEDRATICO,4368322.0,Full time,29,PUESTO NO ADMINISTRATIVO ,4.368322,25132.80048973129,30 años
PROFESOR INSTRUCTOR                    ,2322702.0,Full time,25,PUESTO NO ADMINISTRATIVO ,2.322702,13363.485100938036,30 años
PROFESOR ADJUNTO                       ,2890255.0,Full time,32,PUESTO NO ADMINISTRATIVO ,2.890255,16628.85709419963,40 años
PROFESOR ASOCIADO                      ,2735571.0,Full time,19,PUESTO NO ADMINISTRATIVO ,2.735571,15738.894744594083,20 años
PROFESOR ASOCIADO                      ,3025412.0,Full time,22,PUESTO NO ADMINISTRATIVO ,3.025412,17406.472369765535,30 años
PROFESOR CATEDRATICO,3814384.0,Full time,30,PUESTO NO ADMINISTRATIVO ,3.814384,21945.761338844342,30 años
TECNICO ESPECIALIZADO D,1891589.0,Full time,26,ADMINISTRATIVO,1.891589,10883.11002384218,30 años
PROFESOR INSTRUCTOR                    ,237350.35,1/8  of time,25,PUESTO NO ADMINISTRATIVO ,0.23735035000000002,10924.614060443151,30 años
PROFESOR CATEDRATICO,4418163.0,Full time,26,PUESTO NO ADMINISTRATIVO ,4.418163,25419.556802386058,30 años
PROFESIONAL B,3047831.0,Full time,31,ADMINISTRATIVO,3.047831,17535.458340621,40 años
PROFESOR INTERINO LICENCIADO           ,623829.0,Part Time,11,PUESTO NO ADMINISTRATIVO ,0.623829,7178.303154716424,20 años
PROFESOR INTERINO LICENCIADO           ,825274.0,Full time,11,PUESTO NO ADMINISTRATIVO ,0.825274,4748.149699441227,20 años
PROFESIONAL C,3123277.0,Full time,27,ADMINISTRATIVO,3.123277,17969.53102705489,30 años
PROFESIONAL B,2162578.95,Full time,19,ADMINISTRATIVO,2.1625789500000003,12442.229600666476,20 años
TECNICO ASISTENCIAL B,1697088.0,Full time,32,ADMINISTRATIVO,1.697088,9764.06366506798,40 años
PROFESOR INSTRUCTOR                    ,431701.25,1/4 of  time,20,PUESTO NO ADMINISTRATIVO ,0.43170125,9935.038110668223,20 años
PROFESOR INTERINO LICENCIADO           ,275720.5,1/4 of  time,6,PUESTO NO ADMINISTRATIVO ,0.2757205,6345.345711629277,10 años
PROFESOR INTERINO LICENCIADO           ,90072.95,1/8  of time,14,PUESTO NO ADMINISTRATIVO ,0.09007295,4145.8216347083235,20 años
TECNICO ESPECIALIZADO D,1863565.0,Full time,26,ADMINISTRATIVO,1.863565,10721.876121917316,30 años
PROFESOR ASOCIADO                      ,3827909.0,Full time,34,PUESTO NO ADMINISTRATIVO ,3.827909,22023.57637322679,40 años
PROFESOR INSTRUCTOR                    ,1183636.9,Part Time,20,PUESTO NO ADMINISTRATIVO ,1.1836369,13619.925481676499,20 años
PROFESIONAL A,2573475.0,Full time,30,ADMINISTRATIVO,2.573475,14806.288030120315,30 años
PROFESOR INTERINO,1741576.5,Full time,15,ADMINISTRATIVO,1.7415765,10020.024785742558,20 años
PROFESOR ASOCIADO                      ,1029393.3,Full time,32,PUESTO NO ADMINISTRATIVO ,1.0293933,5922.534198341173,40 años
PROFESOR INTERINO LICENCIADO           ,745039.9,Full time,8,PUESTO NO ADMINISTRATIVO ,0.7450399,4286.529052480415,10 años
PROFESOR ASOCIADO                      ,3218973.0,Full time,21,PUESTO NO ADMINISTRATIVO ,3.218973,18520.11051173238,30 años
PROFESOR ASOCIADO                      ,3386943.0,Full time,28,PUESTO NO ADMINISTRATIVO ,3.386943,19486.51282782999,30 años
TECNICO ASISTENCIAL B,1372341.0,Full time,25,ADMINISTRATIVO,1.372341,7895.657086835248,30 años
PROFESOR INTERINO LICENCIADO           ,153567.05,1/4 of  time,3,PUESTO NO ADMINISTRATIVO ,0.15356704999999998,3534.144259005256,10 años
PROFESOR INTERINO LICENCIADO           ,208067.25,1/4 of  time,12,PUESTO NO ADMINISTRATIVO ,0.20806725,4788.394887278953,20 años
DIRECTOR ESCUELA,6041068.0,Full time,33,PUESTO NO ADMINISTRATIVO ,6.041068,34756.814353177266,40 años
TECNICO ESPECIALIZADO D,1779495.0,Full time,24,ADMINISTRATIVO,1.779495,10238.185922986991,30 años
PROFESOR INSTRUCTOR                    ,2018658.0,Full time,15,PUESTO NO ADMINISTRATIVO ,2.018658,11614.191621176275,20 años
PROFESOR INSTRUCTOR                    ,2675682.75,Full time,14,PUESTO NO ADMINISTRATIVO ,2.67568275,15394.332361388553,20 años
PROFESOR CATEDRATICO,3408676.0,Full time,24,PUESTO NO ADMINISTRATIVO ,3.408676,19611.55195110051,30 años
PROFESIONAL C,3337564.0,Full time,32,ADMINISTRATIVO,3.337564,19202.41459620182,40 años
PROFESOR CATEDRATICO,4680662.0,Full time,33,PUESTO NO ADMINISTRATIVO ,4.680662,26929.824359529048,40 años
PROFESIONAL A,2370048.0,Full time,24,ADMINISTRATIVO,2.370048,13635.886625364767,30 años
PROFESOR INSTRUCTOR                    ,497127.4,1/4 of  time,27,PUESTO NO ADMINISTRATIVO ,0.4971274,11440.735149266784,30 años
TECNICO ESPECIALIZADO D,2173331.0,Full time,40,ADMINISTRATIVO,2.173331,12504.090683138329,40 años
PROFESOR CATEDRATICO,4843339.0,Full time,32,PUESTO NO ADMINISTRATIVO ,4.843339,27865.773812263527,40 años
TECNICO ASISTENCIAL B,1500000.0,Full time,31,ADMINISTRATIVO,1.5,8630.133203229281,40 años
PROFESOR ADJUNTO                       ,2208891.2,Full time,17,PUESTO NO ADMINISTRATIVO ,2.2088912,12708.683524960647,20 años
PROFESOR ASOCIADO                      ,3182705.0,Full time,20,PUESTO NO ADMINISTRATIVO ,3.182705,18311.445397722564,20 años
PROFESIONAL B,2848842.0,Full time,28,ADMINISTRATIVO,2.848842,16390.59062330274,30 años
TECNICO ESPECIALIZADO D,1756142.0,Full time,24,ADMINISTRATIVO,1.756142,10103.826255856982,30 años
PROFESOR INTERINO LICENCIADO           ,684181.9,Part Time,22,PUESTO NO ADMINISTRATIVO ,0.6841819,7872.774576317994,30 años
PROFESOR INTERINO LICENCIADO           ,201723.95,1/8  of time,6,PUESTO NO ADMINISTRATIVO ,0.20172395,9284.824313501671,10 años
DECANO,8131970.0,Full time,35,PUESTO NO ADMINISTRATIVO ,8.13197,46786.656203109604,40 años
TECNICO ESPECIALIZADO D,1975660.0,Full time,32,ADMINISTRATIVO,1.97566,11366.805976194639,40 años
TECNICO ESPECIALIZADO A,1735573.0,Full time,37,ADMINISTRATIVO,1.735573,9985.484115952167,40 años
PROFESOR INTERINO LICENCIADO           ,258903.6,1/4 of  time,7,PUESTO NO ADMINISTRATIVO ,0.2589036,5958.326812788246,10 años
TRABAJADOR OPERATIVO B,1237764.0,Full time,27,ADMINISTRATIVO,1.237764,7121.378796107924,30 años
PROFESIONAL A,2849698.0,Full time,39,ADMINISTRATIVO,2.849698,16395.515552650715,40 años
PROFESIONAL B,3432866.0,Full time,29,ADMINISTRATIVO,3.432866,19750.72723255792,30 años
TECNICO ESPECIALIZADO B,1492702.0,Full time,23,ADMINISTRATIVO,1.492702,8588.144728484502,30 años
PROFESIONAL A,2537184.0,Full time,36,ADMINISTRATIVO,2.537184,14597.490587401384,40 años
PROFESOR CATEDRATICO,3655880.0,Full time,16,PUESTO NO ADMINISTRATIVO ,3.65588,21033.820916681238,20 años
PROFESOR INSTRUCTOR                    ,411290.2,1/4 of  time,14,PUESTO NO ADMINISTRATIVO ,0.4112902,9465.304563154164,20 años
PROFESOR INSTRUCTOR                    ,208570.55,1/8  of time,16,PUESTO NO ADMINISTRATIVO ,0.20857055,9599.955353444228,20 años
TECNICO ESPECIALIZADO D,2031707.0,Full time,36,ADMINISTRATIVO,2.031707,11689.268026622234,40 años
PROFESOR INSTRUCTOR                    ,553322.0,1/4 of  time,31,PUESTO NO ADMINISTRATIVO ,0.553322,12733.98017140595,40 años
PROFESOR EDUCACION SUPERIOR,858127.8,3/8 of time,35,PUESTO NO ADMINISTRATIVO ,0.8581278,13165.79061225617,40 años
TECNICO ASISTENCIAL A,1273489.0,Full time,24,ADMINISTRATIVO,1.273489,7326.919801898168,30 años
PROFESOR ASOCIADO                      ,2934250.0,Full time,23,PUESTO NO ADMINISTRATIVO ,2.93425,16881.97890105034,30 años
PROFESOR ASOCIADO                      ,4072272.0,Full time,43,PUESTO NO ADMINISTRATIVO ,4.072272,23429.499866520604,50 años
PROFESOR ADJUNTO                       ,2434668.0,Full time,33,PUESTO NO ADMINISTRATIVO ,2.434668,14007.672763759885,40 años
PROFESOR ASOCIADO                      ,2975719.0,Full time,28,PUESTO NO ADMINISTRATIVO ,2.975719,17120.567563586817,30 años
TECNICO ESPECIALIZADO B,1731535.0,Full time,33,ADMINISTRATIVO,1.731535,9962.251797369074,40 años
TECNICO ASISTENCIAL A,1353708.0,Full time,27,ADMINISTRATIVO,1.353708,7788.453572184735,30 años
PROFESOR INSTRUCTOR                    ,499325.0,1/4 of  time,19,PUESTO NO ADMINISTRATIVO ,0.499325,11491.310031206562,20 años
TECNICO ASISTENCIAL B,1986596.0,Full time,30,ADMINISTRATIVO,1.986596,11429.725400668316,30 años
TECNICO ASISTENCIAL A,1514148.0,Full time,37,ADMINISTRATIVO,1.514148,8711.532619602138,40 años
PROFESIONAL A,2437857.0,Full time,16,ADMINISTRATIVO,2.437857,14026.020426949948,20 años
TRABAJADOR OPERATIVO C,1294735.0,Full time,27,ADMINISTRATIVO,1.294735,7449.157008588709,30 años
PROFESOR CATEDRATICO,1391952.7,Part Time,21,PUESTO NO ADMINISTRATIVO ,1.3919527,16016.982951459528,30 años
PROFESOR INSTRUCTOR                    ,172592.2,1/4 of  time,9,PUESTO NO ADMINISTRATIVO ,0.1725922,3971.9831355690367,10 años
PROFESIONAL B,2863842.0,Full time,24,ADMINISTRATIVO,2.863842,16476.89195533503,30 años
PROFESOR EDUCACION SUPERIOR,695547.25,1/4 of  time,26,PUESTO NO ADMINISTRATIVO ,0.69554725,16007.107777706178,30 años
PROFESIONAL B,2962835.0,Full time,31,ADMINISTRATIVO,2.962835,17046.440472793216,40 años
PROFESOR INTERINO LICENCIADO           ,2276676.0,Full time,35,PUESTO NO ADMINISTRATIVO ,2.276676,13098.678093730148,40 años
DIRECTOR ESCUELA,5352802.0,Full time,31,PUESTO NO ADMINISTRATIVO ,5.352802,30796.92951367473,40 años
PROFESIONAL C,3674194.0,Full time,38,ADMINISTRATIVO,3.674194,21139.189089670534,40 años
PROFESOR CATEDRATICO,6913595.0,Full time,33,PUESTO NO ADMINISTRATIVO ,6.913595,39776.83050878662,40 años
PROFESOR ADJUNTO                       ,655395.25,1/4 of  time,27,PUESTO NO ADMINISTRATIVO ,0.65539525,15083.062155370013,30 años
PROFESOR INSTRUCTOR                    ,1739954.0,Full time,14,PUESTO NO ADMINISTRATIVO ,1.739954,10010.689858327733,20 años
TRABAJADOR OPERATIVO C,1741225.0,Full time,27,ADMINISTRATIVO,1.741225,10018.002457861936,30 años
PROFESOR ASOCIADO                      ,2705327.0,Full time,17,PUESTO NO ADMINISTRATIVO ,2.705327,15564.888245528438,20 años
TECNICO ESPECIALIZADO A,1773234.0,Full time,34,ADMINISTRATIVO,1.773234,10202.163746996714,40 años
PROFESOR CATEDRATICO,6737835.0,Full time,34,PUESTO NO ADMINISTRATIVO ,6.737835,38765.60903425357,40 años
PROFESOR INSTRUCTOR                    ,581850.5,1/4 of  time,34,PUESTO NO ADMINISTRATIVO ,0.5818505,13390.52618497482,40 años
PROFESOR ASOCIADO                      ,3808456.0,Full time,36,PUESTO NO ADMINISTRATIVO ,3.808456,21911.65505242518,40 años
PROFESOR CATEDRATICO,6115435.0,Full time,33,PUESTO NO ADMINISTRATIVO ,6.115435,35184.679097126966,40 años
PROFESOR ASOCIADO                      ,3264450.0,Full time,28,PUESTO NO ADMINISTRATIVO ,3.26445,18781.758890187884,30 años
TECNICO ESPECIALIZADO D,1919612.0,Full time,29,ADMINISTRATIVO,1.919612,11044.33817234491,30 años
PROFESOR INTERINO LICENCIADO           ,872710.3,5/8 of time,8,PUESTO NO ADMINISTRATIVO ,0.8727103,8033.713212618865,10 años
PROFESOR INTERINO LICENCIADO           ,1547911.15,7/8 of time,16,PUESTO NO ADMINISTRATIVO ,1.54791115,10178.041456201005,20 años
PROFESOR INSTRUCTOR                    ,2219524.0,Full time,22,PUESTO NO ADMINISTRATIVO ,2.219524,12769.858511842842,30 años
PROFESOR CATEDRATICO,3255227.5,Full time,14,PUESTO NO ADMINISTRATIVO ,3.2552275,18728.69795454336,20 años
TECNICO ESPECIALIZADO B,1588235.0,Full time,27,ADMINISTRATIVO,1.588235,9137.786405353903,30 años
PROFESIONAL C,3431335.0,Full time,26,ADMINISTRATIVO,3.431335,19741.918743268492,30 años
PROFESOR INTERINO LICENCIADO           ,1943068.0,Full time,14,PUESTO NO ADMINISTRATIVO ,1.943068,11179.290441954874,20 años
TRABAJADOR OPERATIVO B,1392872.0,Full time,36,ADMINISTRATIVO,1.392872,8013.780596698915,40 años
PROFESIONAL C,3708136.0,Full time,36,ADMINISTRATIVO,3.708136,21334.471743793205,40 años
PROFESIONAL C,3588422.0,Full time,29,ADMINISTRATIVO,3.588422,20645.706566265613,30 años
PROFESOR ASOCIADO                      ,1763570.75,Part Time,34,PUESTO NO ADMINISTRATIVO ,1.76357075,20293.133981091953,40 años
TECNICO ESPECIALIZADO D,1863565.0,Full time,28,ADMINISTRATIVO,1.863565,10721.876121917316,30 años
PROFESIONAL B,2886840.0,Full time,30,ADMINISTRATIVO,2.88684,16609.209157606943,30 años
PROFESOR ASOCIADO                      ,3558339.0,Full time,35,PUESTO NO ADMINISTRATIVO ,3.558339,20472.626368163783,40 años
DIRECTOR,5303787.0,Full time,30,PUESTO NO ADMINISTRATIVO ,5.303787,30514.925527703872,30 años
PROFESOR CATEDRATICO,5832841.0,Full time,31,PUESTO NO ADMINISTRATIVO ,5.832841,33558.79652217138,40 años
TRABAJADOR OPERATIVO B,1349442.0,Full time,33,ADMINISTRATIVO,1.349442,7763.909473354751,40 años
PROFESOR INTERINO LICENCIADO           ,446830.5,1/4 of  time,18,PUESTO NO ADMINISTRATIVO ,0.4468305,10283.217958041441,20 años
PROFESOR INTERINO LICENCIADO           ,447593.85,3/8 of time,16,PUESTO NO ADMINISTRATIVO ,0.44759384999999996,6867.19030479329,20 años
PROFESOR CATEDRATICO,2949839.0,Full time,9,PUESTO NO ADMINISTRATIVO ,2.949839,16971.668998720437,10 años
TECNICO ASISTENCIAL B,1308511.0,Full time,22,ADMINISTRATIVO,1.308511,7528.416151927166,30 años
PROFESOR INTERINO LICENCIADO           ,220576.45,1/4 of  time,10,PUESTO NO ADMINISTRATIVO ,0.22057645,5076.277719987849,10 años
PROFESIONAL A,2132717.0,Full time,17,ADMINISTRATIVO,2.132717,12270.421196527694,20 años
PROFESOR INTERINO LICENCIADO           ,342775.25,1/4 of  time,17,PUESTO NO ADMINISTRATIVO ,0.34277525,7888.522843387245,20 años
PROFESIONAL A,2258207.0,Full time,28,ADMINISTRATIVO,2.258207,12992.418140309856,30 años
PROFESOR ASOCIADO                      ,3595753.2,Full time,33,PUESTO NO ADMINISTRATIVO ,3.5957532000000003,20687.88605462529,40 años
TECNICO ESPECIALIZADO D,2003683.0,Full time,32,ADMINISTRATIVO,2.003683,11528.03412469737,40 años
TRABAJADOR OPERATIVO C,1865043.0,Full time,32,ADMINISTRATIVO,1.865043,10730.379679833564,40 años
PROFESIONAL D,3597660.0,Full time,34,ADMINISTRATIVO,3.59766,20698.856679953235,40 años
PROFESIONAL A,2779099.0,Full time,37,ADMINISTRATIVO,2.779099,15989.329703307525,40 años
PROFESOR INTERINO LICENCIADO           ,1706161.0,Full time,25,PUESTO NO ADMINISTRATIVO ,1.706161,9816.264464103248,30 años
TECNICO ESPECIALIZADO D,2003683.0,Full time,32,ADMINISTRATIVO,2.003683,11528.03412469737,40 años
PROFESOR INSTRUCTOR                    ,2176427.0,Full time,22,PUESTO NO ADMINISTRATIVO ,2.176427,12521.903278069794,30 años
PROFESIONAL B,3064163.0,Full time,35,ADMINISTRATIVO,3.064163,17629.423230937762,40 años
PROFESOR INTERINO LICENCIADO           ,150613.75,1/4 of  time,2,PUESTO NO ADMINISTRATIVO ,0.15061375,3466.1779326343303,10 años
PROFESOR INTERINO LICENCIADO           ,157750.8,1/4 of  time,2,PUESTO NO ADMINISTRATIVO ,0.1577508,3630.427778442617,10 años
TECNICO ESPECIALIZADO D,1919612.0,Full time,29,ADMINISTRATIVO,1.919612,11044.33817234491,30 años
PROFESOR CATEDRATICO,5027737.0,Full time,24,PUESTO NO ADMINISTRATIVO ,5.027737,28926.693347202912,30 años
PROFESOR ASOCIADO                      ,3185175.0,Full time,41,PUESTO NO ADMINISTRATIVO ,3.185175,18325.656350397214,50 años
TECNICO ASISTENCIAL B,1621482.0,Full time,39,ADMINISTRATIVO,1.621482,9329.070431092414,40 años
PROFESOR ASOCIADO                      ,2266316.0,Full time,23,PUESTO NO ADMINISTRATIVO ,2.266316,13039.072640406512,30 años
PROFESOR ASOCIADO                      ,3168797.5,Full time,26,PUESTO NO ADMINISTRATIVO ,3.1687975,18231.42967937329,30 años
PROFESOR INSTRUCTOR                    ,2093679.0,Full time,27,PUESTO NO ADMINISTRATIVO ,2.093679,12045.819103202582,30 años
PROFESIONAL B,2781846.0,Full time,24,ADMINISTRATIVO,2.781846,16005.134353913707,30 años
PROFESOR INTERINO LICENCIADO           ,214710.05,1/4 of  time,14,PUESTO NO ADMINISTRATIVO ,0.21471004999999999,4941.2702175253835,20 años
PROFESOR ASOCIADO                      ,3412421.0,Full time,35,PUESTO NO ADMINISTRATIVO ,3.412421,19633.098516997907,40 años
PROFESOR ASOCIADO                      ,3018354.0,Full time,25,PUESTO NO ADMINISTRATIVO ,3.018354,17365.86471633327,30 años
PROFESOR INSTRUCTOR                    ,562305.75,1/4 of  time,20,PUESTO NO ADMINISTRATIVO ,0.56230575,12940.729395844648,20 años
PROFESIONAL D,3779584.0,Full time,32,ADMINISTRATIVO,3.779584,21745.542248529422,40 años
PROFESOR CATEDRATICO,6128361.0,Full time,29,PUESTO NO ADMINISTRATIVO ,6.128361,35259.04783165026,30 años
PROFESIONAL A,2505666.0,Full time,27,ADMINISTRATIVO,2.505666,14416.154228535132,30 años
JEFE B,4097688.0,Full time,28,ADMINISTRATIVO,4.097688,23575.72884351612,30 años
TECNICO ESPECIALIZADO D,1835542.0,Full time,26,ADMINISTRATIVO,1.835542,10560.647973414587,30 años
PROFESOR CATEDRATICO,4091292.0,Full time,30,PUESTO NO ADMINISTRATIVO ,4.091292,23538.92995553755,30 años
PROFESOR INSTRUCTOR                    ,1656928.0,Full time,17,PUESTO NO ADMINISTRATIVO ,1.656928,9533.006232106856,20 años
PROFESOR INSTRUCTOR                    ,802071.0,Part Time,15,PUESTO NO ADMINISTRATIVO ,0.802071,9229.306091263083,20 años
TECNICO ESPECIALIZADO D,1807518.0,Full time,25,ADMINISTRATIVO,1.807518,10399.41407148972,30 años
DIRECTOR ESCUELA,3794501.0,Full time,21,PUESTO NO ADMINISTRATIVO ,3.794501,21831.36604652447,30 años
TRABAJADOR OPERATIVO C,1741225.0,Full time,27,ADMINISTRATIVO,1.741225,10018.002457861936,30 años
PROFESOR CATEDRATICO,4083078.0,Full time,23,PUESTO NO ADMINISTRATIVO ,4.083078,23491.67134611667,30 años
PROFESOR INTERINO LICENCIADO           ,789569.75,5/8 of time,13,PUESTO NO ADMINISTRATIVO ,0.78956975,7268.364923456471,20 años
PROFESOR INSTRUCTOR                    ,2226542.0,Full time,17,PUESTO NO ADMINISTRATIVO ,2.226542,12810.236028389685,20 años
PROFESOR INSTRUCTOR                    ,519554.25,1/4 of  time,34,PUESTO NO ADMINISTRATIVO ,0.51955425,11956.859690143696,40 años
PROFESOR INSTRUCTOR                    ,530327.9,1/4 of  time,32,PUESTO NO ADMINISTRATIVO ,0.5303279000000001,12204.80111570362,40 años
TECNICO ESPECIALIZADO D,1919612.0,Full time,29,ADMINISTRATIVO,1.919612,11044.33817234491,30 años
PROFESOR INTERINO LICENCIADO           ,1021176.9,7/8 of time,9,PUESTO NO ADMINISTRATIVO ,1.0211769,6714.584892236759,10 años
TRABAJADOR OPERATIVO B,1219151.0,Full time,26,ADMINISTRATIVO,1.219151,7014.29034990012,30 años
PROFESOR INTERINO LICENCIADO           ,377055.5,1/4 of  time,23,PUESTO NO ADMINISTRATIVO ,0.3770555,8677.437840027247,30 años
PROFESOR ASOCIADO                      ,4080640.0,Full time,33,ADMINISTRATIVO,4.08064,23477.644502950352,40 años
PROFESOR CATEDRATICO,4199087.0,Full time,31,PUESTO NO ADMINISTRATIVO ,4.199087,24159.120094632286,40 años
PROFESOR CATEDRATICO,4052035.0,Full time,25,PUESTO NO ADMINISTRATIVO ,4.052035,23313.06786276477,30 años
PROFESOR INSTRUCTOR                    ,1832852.0,Full time,15,PUESTO NO ADMINISTRATIVO ,1.832852,10545.171267870128,20 años
PROFESOR CATEDRATICO,5115670.0,Full time,38,PUESTO NO ADMINISTRATIVO ,5.11567,29432.60901584262,40 años
